school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Full-Cook_JR-000321,Full Cook,Non-academic,Full-time,,,,2026-09-03
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Director-of-Alumnae-i-Relations---Development-Marketing---Communications_JR-000386,Director of Alumnae/i Relations & Development Marketing & Communications,Non-academic,Full-time,,Alumnae/i Relations & Development Marketing & Communications,,2026-08-31
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Project-Manager--Workday-Student_JR-000380,"Project Manager, Workday Student",Non-academic,Full-time,,,,2026-08-21
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Benefits---Wellness-Specialist_JR-000379,Benefits & Wellness Specialist,Non-academic,Full-time,,,,2026-08-19
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Public-History-Research-Fellow_JR-000351,"Research  Fellow, Public Humanities",Research_Fellow,Full-time,,African American history; intersectional histories,,2026-07-31
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Head-Strength-and-Conditioning-Coach-and-Fitness-Center-Director_JR-000363,"Head Coach, Strength & Conditioning; Director, Fitness Center",Unclassified,Full-time,,,,2026-07-31
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Kitchen-Associate--Cold-Cook_JR-000361,"Kitchen Associate, Cold Cook",Non-academic,Full-time,,,,2026-07-24
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Administrative-Assistant_JR-000349,Administrative Assistant,Unclassified,Full-time,,,,2026-07-15
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Loan-and-Collections-Specialist_JR-000301,Loan and Collections Specialist,Non-academic,Full-time,,,,2026-06-22
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Laboratory-Instrumentation-Technician_JR-000295,Laboratory Instrumentation Technician (Equipment Repair and Maintenance),Non-academic,Full-time,,,,2026-06-15
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Campus-Safety-Officer_JR-000323,Campus Safety Officer,Unclassified,Full-time,School of Social Work and Social Research campus,Social Research campus; School of Social Work,,2026-06-15
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Housekeeper_JR-000264,Housekeeper,Unclassified,Full-time,,,,2026-03-27
1134,https://brynmawr.wd12.myworkdayjobs.com/External/job/Bryn-Mawr-College-Campus/Finance-Systems-Analyst_JR-000239,Finance Systems Analyst,Non-academic,Full-time,,,,2026-03-16
