school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1745,https://www.uam.es/uam/investigacion/ofertas-empleo,Ofertas de empleo en la Universidad Autónoma de Madrid,Unclassified,Full-time,,cerrada; solicitud; estudiantes,,
1745,https://www.uam.es/uam/en/investigacion/oferta-empleo/fpi-uam2026,Predoctoral contracts Research Personnel Training (FPI-UAM) 2026,Unclassified,Full-time,,predoctoral contracts; fpi-uam; research personnel,"September 7, 2026",
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-conjuntajulio2026nacional-mam,Job Offer for 4 Researchers and 19 Research Support Technicians to carry out activities linked to research lines or scientific and technical services (National Projects). Published on 17/07/2026,Unclassified,Full-time,,technical services national; services national projects; research,20/07/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-conjuntajulio2026europeas-mam,Job offer for 4 researchers and 7 research support technicians to carry out activities linked to research lines or scientific and technical services (European projects). Published on 17/07/2026,Unclassified,Full-time,,technical services european; services european projects; research,20/07/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-conjuntajulio2026regional-mam,Job offer for 2 researchers and 5 research support technicians to carry out activities linked to research lines or scientific and technical services (Madrid Community projects). Published 17/07/2026,Unclassified,Full-time,,community; technical services madrid; research,20/07/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-erasmusmundus-malcami-fjr,Job offer for a research support technician within the research project “ERASMUS MUNDUS JOINT MASTER TCCM,Non-academic,Full-time,,research project erasmus; project erasmus mundus; technician,15/07/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-fpiministerio2022-10ronda-ilastres-mam,"OFFER OF 1 PREDOCTORAL REPLACEMENT CONTRACT OF MAXIMUM 1 YEAR AND 4 MONTHS FOR THE TRAINING OF DOCTORS CORRESPONDING TO THE 2022 CALL OF THE MINISTRY AND IN ACCORDANCE WITH THE ORDER APPROVING THE ADVANCE PROCESSING CALL FOR THE YEAR 2022 OF THE PROCEDURE FOR GRANTING AID TO “KNOWLEDGE GENERATION PROJECTS” AND ACTIONS FOR THE TRAINING OF PREDOCTORAL RESEARCH PERSONNEL ASSOCIATED WITH SAID PROJECTS, WITHIN THE FRAMEWORK OF THE STATE PLAN FOR SCIENTIFIC, TECHNICAL AND INNOVATION RESEARCH 2021-2023. (Published on 25/06/2026)",Unclassified,Full-time,,predoctoral; training; plan,06/26/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-conjuntajunio2026regional-mam,OFERTA DE CONTRATO DE 1 INVESTIGADOR/A Y 13 TÉCNICOS/AS DE APOYO A LA INVESTIGACIÓN PARA LA REALIZACIÓN DE ACTIVIDADES VINCULADAS A LÍNEAS DE INVESTIGACIÓN O DE SERVICIOS CIENTÍFICO-TÉCNICOS (PROYECTOS COMUNIDAD DE MADRID). Publicado 17/06/2026,Unclassified,Full-time,,cnicos; comunidad; investigaci,,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-conjuntajunio2026nacional-mam,Job offer for 5 researchers and 18 research support technicians to carry out activities linked to research lines or scientific and technical services (national projects). Published on 17/06/2026,Unclassified,Full-time,,july; technical services national; services national projects,06/18/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-conjuntajunio2026europea-mam,Job offer for 3 researchers and 10 research support technicians to carry out activities linked to research lines or scientific and technical services (European projects). Published on 17/06/2026,Unclassified,Full-time,,technical services european; services european projects; research,06/18/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo/contrato-conjuntamayo2026europea-mam,OFFER OF CONTRACT FOR 3 RESEARCHERS AND 2 RESEARCH SUPPORT TECHNICIANS FOR CARRYING OUT ACTIVITIES LINKED TO LINES OF RESEARCH OR SCIENTIFIC-TECHNICAL SERVICES (EUROPEAN PROJECTS) (Published 14/05/2026),Unclassified,Full-time,,scientific-technical services european; european projects published; carrying out,18/05/2026,
1745,https://www.uam.es/uam/en/investigacion/ofertas-empleo,Job offers,Research_Fellow,Full-time,,cerrada; solicitud; cnicos,07/09/2026,
