school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
1708,https://www.unibocconi.it/en/current-students/career-services,Associate Employer network,Non-academic,Full-time,,,,
1708,https://www.unibocconi.it/en/employers-and-partners/jobgate-internship-and-job-posting,JobGate: internship and job posting,Non-academic,Full-time,,,,
1708,https://www.unibocconi.it/en/employers-and-partners/career-fairs,Career fairs,Unclassified,Full-time,,,,
1708,https://jobmarket.unibocconi.eu/index.php?type=j,Job Market,Assistant_Professor,Full-time,,,18/10/2026,
1708,https://jobmarket.unibocconi.eu/index.php?type=s,Job Market,Assistant_Professor; Associate_Professor; Full_Professor,Full-time,,,18/10/2026,
1708,https://jobmarket.unibocconi.eu/?id=982,Job Market,Assistant_Professor,Full-time,,,18/10/2026,
1708,https://jobmarket.unibocconi.eu/?type=j,Job Market,Assistant_Professor,Full-time,,,18/10/2026,
1708,https://jobmarket.unibocconi.eu/?type=&dep=SPS,Job Market,Assistant_Professor; Associate_Professor; Full_Professor,Full-time,,,18/10/2026,
1708,https://jobmarket.unibocconi.eu/?id=981,Job Market,Associate_Professor,Full-time,,,18/10/2026,
1708,https://jobmarket.unibocconi.eu/?type=s,Job Market,Assistant_Professor; Associate_Professor; Full_Professor,Full-time,,,18/10/2026,
1708,https://jobmarket.unibocconi.eu/?id=978,Job Market,Unclassified,Full-time,,,07/08/2026,
1708,https://jobmarket.unibocconi.eu/?type=&dep=MNT,Job Market,Assistant_Professor; Associate_Professor,Full-time,,,07/08/2026,
1708,https://jobmarket.unibocconi.eu/include/dwload.php?a=OTE3XmVhZTg0NDI0MWFkOGY2NjJkYTMzMzBjNzY4ODViNTcwXnVwbG9hZC9NTlQvc2Vzc2lvbl85NzgtMjAyNjA4MDdeam1rX3Nlc3Npb25eam1zX15qbXNfZmlsZV9kZXRhaWxzX2l0Xjk3OA==,,Unclassified,Full-time,,,,
1708,https://jobmarket.unibocconi.eu/include/dwload.php?a=ODgyXmIyYjNjOTIyNDk2ZjkwNjIyMWQyY2E3OTMzYTgzZWYzXnVwbG9hZC9NTlQvc2Vzc2lvbl85NzgtMjAyNjA4MDdeam1rX3Nlc3Npb25eam1zX15qbXNfZmlsZV9kZXRhaWxzX2VuXjk3OA==,,Unclassified,Full-time,,,,
1708,https://jobmarket.unibocconi.eu/?id=976,Job Market,Assistant_Professor,Full-time,,,04/08/2026,
1708,https://jobmarket.unibocconi.eu/?type=&dep=ECO,Job Market,Assistant_Professor,Full-time,,,04/08/2026,
